"Name","RunTime","Rating","Votes"
"Die Liebe der Jeanne Ney (1927)","1h 44min",7.3,680
"The Life of Riley (1927)","1h 10min",NA,NA
"A Light in the Window (1927)","1h",NA,NA
"Lightning (1927)","1h 10min",6.8,12
"Pozbavleni dnya (1927)","1h 26min",NA,NA
"A Little Journey (1927)","1h 4min",NA,NA
"London After Midnight (1927)","1h 9min",6.8,1187
"The Lone Eagle (1927)","1h",NA,NA
"Lonesome Ladies (1927)","1h",NA,NA
"Long Pants (1927)","1h",6.3,444
"Lost at the Front (1927)","1h",NA,NA
"Love (1927)","1h 22min",7,895
"The Love Mart (1927)","1h 20min",NA,NA
"The Love Thrill (1927)","1h",NA,NA
"The Love of Sunya (1927)","1h 18min",6.1,770
"Love's Greatest Mistake (1927)","1h",NA,NA
"The Lovelorn (1927)","1h 10min",NA,NA
"Lovers? (1927)","1h",NA,NA
"The Loves of Carmen (1927)","1h 30min",6.8,35
"The Lunatic at Large (1927)","1h",6,6
"Madame Pompadour (1927)","1h 10min",7.5,8
"Madame besøker Oslo (1927)","1h 58min",6.6,9
"The Magic Flame (1927)","1h 40min",5.2,29
"The Main Event (1927)","1h 10min",NA,NA
"Man Crazy (1927)","1h",NA,NA
"Man Power (1927)","1h",NA,NA
"A Man's Past (1927)","1h",7.9,8
"Man Woman and Sin (1927)","1h 10min",6,358
"Le mariage de Mademoiselle Beulemans (1927)","1h 5min",6.1,7
"Marquitta (1927)","1h 10min",6.7,14
"Matinee Ladies (1927)","1h 10min",NA,NA
"McFadden's Flats (1927)","1h 20min",NA,NA
"Men of Daring (1927)","1h 10min",NA,NA
"A Million Bid (1927)","1h 10min",6,21
"The Missing Link (1927)","1h 10min",6.9,9
"Mitya (1927)","1h 37min",NA,NA
"Mockery (1927)","1h 15min",6.8,396
"The Monkey Talks (1927)","1h",6.7,35
"Moskva (1927)","1h",7.9,41
"Moskva v oktyabre (1927)","1h 10min",6.3,7
"Mother (1927)","1h 10min",NA,NA
"Moulders of Men (1927)","1h 10min",NA,NA
"Mountains of Manhattan (1927)","1h",NA,NA
"Mr. Wu (1927)","1h 31min",6.4,534
"The Music Master (1927)","1h 20min",NA,NA
"My Best Girl (1927)","1h 20min",7.4,793
"My Friend from India (1927)","1h",7,18
"The Mysterious Rider (1927)","1h 5min",NA,NA
"Napoléon vu par Abel Gance (1927)","5h 30min",8.1,7105
"Naughty But Nice (1927)","1h 10min",4.6,11
"El negro que tenía el alma blanca (1927)","1h 28min",6.7,40
"Nevada (1927)","1h 10min",6.2,104
"New York (1927)","1h 10min",NA,NA
"Night Bride (1927)","1h",NA,NA
"Night Life (1927)","1h 10min",NA,NA
"The Night of Love (1927)","1h 20min",7.2,43
"No Place to Go (1927)","1h 10min",NA,NA
"Nobody's Widow (1927)","1h 7min",NA,NA
"Noored kotkad (1927)","1h 18min",6.6,82
"The Notorious Lady (1927)","1h 19min",6.4,25
